Exact Age		probability a	lives b	expectancy	probability aa	lives bb	eexpectancy	Cohort multiplier	Effective cohort size	Effective cohort size, male	Effective cohort size, female	Effective expected deaths	Effective expected deaths, male	Effective expected deaths, female	Total living	Avg Mortality Rate from SSN Data		Expected mortality rate, using 2010 mortality numbers and 2013 cohort sizes	Change from 2010 to 2013	Cohort Change	Small Cohort Death Rate	Small Cohort Death Rate, males, 2010 data	Small Cohort Death Rate, females, 2010 data	male cohort 2010	female cohort 2010	M Big Cohort Size	F Big Cohort Size	M Big Cohort Cum Deaths		M Big Cohort Death Rate				Big Cohort Death Rate	Big Cohort Death Rate, males, 2010 data	Big Cohort Death Rate, females, 2010 data	big male cohort 2010	big female cohort 2010	Death Rate Multiplier	M Death Rate, Adjusted	F Death Rate, Adjusted	M Death Rate Multiplier vs. Cohort	F Death Rate Multiplier vs. Cohort	M Death vs Big Cohort	F Death vs Big Cohort	Suicide Rate, Raw (per 100,000)	Cerebrovascular, Male (Raw)	Cerebrovascular, Female (Raw)	Cerebrovascular, Male, Adj	Cerebrovascular, Female, Adj	Drug Overdose Rates, Male, Raw	Drug Overdose Rates, Female, Raw	Cardiovascular, Raw								
0	0	0.006569	100000	76.18	0.005513	100000	80.95	1	100000	100000	100000	605.32496	656.9	551.3	100000	0.006053	0.005947	0.005947	0.982448	0.982448	0.005947	0.006569	0.005513	0.006569	0.005513	100000	100000	645.3698	541.6233	0.006454	0.005416	0.006454	0.005416	0.005947	80.95	100000	80.95	100000	0.982447511	0.006453698	0.0054162	1	1	1	1		3	2.3	3	2.3	0.2	0.2	0.4								4000000
1	between 1 and 4	0.000444	99343.1	75.69	0.000382	99448.7	80.39	1	99448.7	99343.1	99448.7	41.11985	44.108336	37.989403	99394.68					0.999407	0.000256			0.000283536	0.000227	497159.8	497621	44.08217	37.96686			0.000226	0.000181	0.000227			6.44E-10	3903.283	0.99940667	0.000443737	0.0003818	1.5659371	1.6807742	1.960221	2.1034819		0.3	0	0.5880663	0	0.2	0.2	0.4								4000000
2	between 1 and 4	0.000291	99298.992	74.72	0.000218	99410.711	79.42	1	99410.711	99298.992	99410.711	25.367575	28.896007	21.671535	99353.56					0.999407	0.000256			0.000283536	0.000227	497159.8	497621	72.96103	59.62554			0.000226	0.000181	0.000227			6.44E-10	3903.283	0.99940667	0.000290827	0.0002179	1.0263236	0.9591853	1.2847394	1.2004163		0.3	0	0.38542182	0	0.2	0.2	0.4								4000000
3	between 1 and 4	0.000226	99270.096	73.74	0.000166	99389.039	78.44	1	99389.039	99270.096	99389.039	19.535674	22.435042	16.49858	99328.19					0.999407	0.000256			0.000283536	0.000227	497159.8	497621	95.38276	76.11433			0.000226	0.000181	0.000227			6.44E-10	3903.283	0.99940667	0.000225866	0.0001659	0.7970761	0.7303888	0.9977701	0.9140785		0.3	0	0.29933103	0	0.2	0.2	0.4								4000000
4	between 1 and 4	0.000173	99247.661	72.76	0.000143	99372.54	77.45	1	99372.54	99247.661	99372.54	15.72439	17.169845	14.210273	99308.65	0.000256	0.000255	0.000256	0.999407	0.999407	0.000256	0.000284	0.000227	0.000283536	0.000227	497159.8	497621	112.5424	90.31617	0.000226	0.000181	0.000226	0.000181	0.000227	6.44E-10	3903.283	6.44E-10	3903.283	0.99940667	0.000172897	0.0001429	0.6101512	0.6291904	0.7637798	0.7874291		0.3	0	0.22913394	0	0.2	0.2	0.4								4000000
5	between 5 and 14	0.000158	99230.491	71.77	0.000127	99358.33	76.47	1	99358.33	99230.491	99358.33	14.183958	15.678418	12.618508	99292.93					0.997637	0.00012			0.000132959	0.000107	1001788	1003193	15.64137	12.58869			0.000151	0.00011	0.000107			2.43E-10	8266.026	0.997636928	0.000157627	0.0001267	1.1883377	1.1820047	1.0465564	1.150207		0.2	0.2	0.20931128	0.2300414	0.2	0.2	0.4								4000000
6	between 5 and 14	0.000147	99214.812	70.78	0.000116	99345.712	75.48	1	99345.712	99214.812	99345.712	13.089841	14.584577	11.524103	99278.74					0.997637	0.00012			0.000132959	0.000107	1001788	1003193	30.19148	24.08556			0.000151	0.00011	0.000107			2.43E-10	8266.026	0.997636928	0.000146653	0.0001157	1.1056053	1.0796263	0.9736949	1.0505828		0.2	0.2	0.19473898	0.21011656	0.2	0.2	0.4								4000000
7	between 5 and 14	0.000136	99200.228	69.79	0.000106	99334.188	74.48	1	99334.188	99200.228	99334.188	12.044684	13.491231	10.529424	99265.65					0.997637	0.00012			0.000132959	0.000107	1001788	1003193	43.65083	34.5901			0.000151	0.00011	0.000107			2.43E-10	8266.026	0.997636928	0.000135679	0.0001057	1.022873	0.9865551	0.9008334	0.9600153		0.2	0.2	0.18016668	0.19200306	0.2	0.2	0.4								4000000
8	between 5 and 14	0.000121	99186.737	68.8	0.000098	99323.658	73.49	1.0345873	102758.99	102617.33	102758.99	11.270756	12.416697	10.070381	99253.61					0.997637	0.00012			0.000132959	0.000107	1001788	1003193	56.03819	44.63669			0.000151	0.00011	0.000107			2.43E-10	8266.026	0.997636928	0.000120714	9.78E-05	0.9100561	0.9120981	0.8014767	0.8875613		0.2	0.2	0.16029534	0.17751226	0.2	0.2	0.4							2005	4138349
9	between 5 and 14	0.000104	99174.735	67.81	0.000091	99313.924	72.5	1.028013	102096.01	101952.92	102096.01	9.9621434	10.603103	9.2907365	99242.72	0.000121	0.000118	0.00012	0.997637	0.997637	0.00012	0.000133	0.000107	0.000132959	0.000107	1001788	1003193	66.61623	53.90547			0.000151	0.00011	0.000107	2.43E-10	8266.026	2.43E-10	8266.026	0.997636928	0.000103754	9.08E-05	0.782197	0.8469483	0.6888726	0.8241641		0.2	0.2	0.13777452	0.16483282	0.2	0.2	0.4							2004	4112052
10	between 5 and 14	0.000092	99164.421	66.82	0.000086	99304.887	71.51	1.0224875	101538.01	101394.38	101538.01	9.0371895	9.328283	8.7322685	99233.02					0.996146	0.000142			0.000169332	0.000114	1001788	1003193	75.90856	62.60408			0.000151	0.00011	0.000114			2.86E-10	6989.438	0.996145753	9.16E-05	8.57E-05	0.5433107	0.7572396	0.6084764	0.7777161		0.2	0.2	0.12169528	0.15554322	0.2	0.2	0.4							2003	4089950
11	between 5 and 14	0.000097	99155.298	65.82	0.000089	99296.347	70.51	1.0054315	99835.675	99693.86	99835.675	9.2869449	9.6703044	8.8853751	99224.19					0.996146	0.000142			0.000169332	0.000114	1001788	1003193	85.5416	71.45521			0.000151	0.00011	0.000114			2.86E-10	6989.438	0.996145753	9.66E-05	8.87E-05	0.5728385	0.783655	0.6415458	0.8048458		0.2	0.2	0.12830916	0.16096916	0.2	0.2	0.4							2002	4021726
12	between 5 and 14	0.000134	99145.68	64.83	0.000102	99287.509	69.52	1.0064833	99931.215	99788.466	99931.215	11.819192	13.371654	10.192984	99214.95					0.996146	0.000142			0.000169332	0.000114	1001788	1003193	98.86171	81.60891			0.000151	0.00011	0.000114			2.86E-10	6989.438	0.996145753	0.000133484	0.0001016	0.7913439	0.8981214	0.8862591	0.9224075		0.2	0.2	0.17725182	0.1844815	0.2	0.2	0.4							2001	4025933
13	between 5 and 14	0.00021	99132.394	63.84	0.000128	99277.382	68.52	1.0147035	100737.11	100589.99	100737.11	17.104586	21.123897	12.89435	99203.21					0.996146	0.000142			0.000169332	0.000114	1001788	1003193	119.9042	94.45356			0.000151	0.00011	0.000114			2.86E-10	6989.438	0.996145753	0.000209191	0.0001275	1.2401658	1.1270543	1.3889136	1.157531		0.2	0.2	0.27778272	0.2315062	0.2	0.2	0.4							2000	4058814
14	between 5 and 14	0.000317	99111.576	62.85	0.000164	99264.674	67.53	0.9898543	98257.56	98106.015	98257.56	23.780754	31.099607	16.11424	99186.35	0.000143	0.000141	0.000142	0.996146	0.996146	0.000142	0.000169	0.000114	0.000169332	0.000114	1001788	1003193	150.8839	110.5057	0.000151	0.00011	0.000151	0.00011	0.000114	2.86E-10	6989.438	2.86E-10	6989.438	0.996145753	0.000315778	0.0001634	1.8720598	1.4440383	2.0965981	1.4830866		0.2	0.2	0.41931962	0.29661732	0.2	0.2	0.4							1999	3959417
15	15-24	0.000433	99080.158	61.87	0.000205	99248.395	66.54	0.9853883	97798.202	97632.423	97798.202	31.419559	42.274839	20.048631	99162.32					0.999585	0.000484			0.000680044	0.000281	988020.7	991797.2	42.25727	20.0403			0.000978	0.000362	0.000281			9.78E-10	2062.683	0.999584508	0.00043282	0.0002049	0.6367236	0.7292409	0.4426868	0.5663049	11.1	0.4	0.3	0.17707472	0.16989147	11.7	4.8	2.1							1998	3941553
16	15-24	0.000547	99037.256	60.9	0.000246	99228.049	65.56	0.9705	96300.822	96115.657	96300.822	38.467702	52.575264	23.690002	99130.44					0.999585	0.000484			0.000680044	0.000281	988020.7	991797.2	94.81069	43.72046			0.000978	0.000362	0.000281			9.78E-10	2062.683	0.999584508	0.000546773	0.0002459	0.8043599	0.875089	0.5592372	0.6795659	11.1	0.4	0.3	0.22369488	0.20386977	11.7	4.8	2.1							1997	3882000
17	15-24	0.000672	98983.083	59.93	0.000285	99203.639	64.57	0.97475	96698.747	96483.76	96698.747	46.630539	64.837087	27.559143	99090.8					0.999585	0.000484			0.000680044	0.000281	988020.7	991797.2	159.6208	71.26815			0.000978	0.000362	0.000281			9.78E-10	2062.683	0.999584508	0.000671721	0.0002849	0.9881715	1.0138227	0.6870336	0.7873019	11.1	0.4	0.3	0.27481344	0.23619057	11.7	4.8	2.1							1996	3899000
18	15-24	0.000805	98916.566	58.97	0.000319	99175.366	63.59	0.973	96497.631	96245.819	96497.631	54.671978	77.477884	30.782744	99042.96					0.999585	0.000484			0.000680044	0.000281	988020.7	991797.2	237.0665	102.0381			0.000978	0.000362	0.000281			9.78E-10	2062.683	0.999584508	0.000804666	0.0003189	1.1837471	1.1347699	0.823009	0.8812257	11.1	0.4	0.3	0.3292036	0.26436771	11.7	4.8	2.1							1995	3892000
19	15-24	0.000941	98836.938	58.02	0.00035	99143.729	62.61	0.99475	98623.224	98318.044	98623.224	64.190494	92.51728	34.518129	98986.77	0.000485	0.000448	0.000484	0.999585	0.999585	0.000484	0.00068	0.000281	0.000680044	0.000281	988020.7	991797.2	329.5454	136.5419			0.000978	0.000362	0.000281	9.78E-10	2062.683	9.78E-10	2062.683	0.999584508	0.000940609	0.0003499	1.3837342	1.2450454	0.9620515	0.966862	11.1	0.4	0.3	0.3848206	0.2900586	11.7	4.8	2.1							1994	3979000
20	15-24	0.001084	98743.933	57.07	0.000383	99109.029	61.63	1.00975	100075.34	99706.686	100075.34	74.014589	108.08205	38.328856	98922.25					0.997735	0.00086			0.001267621	0.000441	988020.7	991797.2	437.3826	174.7839			0.000978	0.000362	0.000441			1.74E-09	1157.188	0.997735178	0.001081545	0.0003821	0.855145	0.8694644	1.1062003	1.0560659	11.1	0.4	0.3	0.44248012	0.31681977	11.7	4.8	2.1							1993	4039000
21	15-24	0.001219	98636.894	56.13	0.000417	99071.07	60.66	1.021	101151.56	100708.27	101151.56	83.406556	122.76338	42.180202	98848.95					0.997735	0.00086			0.001267621	0.000441	988020.7	991797.2	559.868	216.8686			0.000978	0.000362	0.000441			1.74E-09	1157.188	0.997735178	0.001216239	0.0004161	0.9616437	0.9466492	1.2439651	1.1498158	11.1	0.4	0.3	0.49758604	0.34494474	11.7	4.8	2.1							1992	4084000
22	15-24	0.001314	98516.656	55.2	0.000446	99029.757	59.68	1.02775	101777.83	101250.49	101777.83	90.234774	133.04315	45.392914	98767.25					0.997735	0.00086			0.001267621	0.000441	988020.7	991797.2	692.6098	262.1587			0.000978	0.000362	0.000441			1.74E-09	1157.188	0.997735178	0.001311024	0.000445	1.0365872	1.0124833	1.3409107	1.2297791	11.1	0.4	0.3	0.53636428	0.36893373	11.7	4.8	2.1							1991	4111000
23	15-24	0.001357	98387.205	54.27	0.000469	98985.59	58.71	1.04475	103415.2	102790.03	103415.2	95.049319	139.48607	48.501727	98679.46					0.997735	0.00086			0.001267621	0.000441	988020.7	991797.2	831.78	310.5506			0.000978	0.000362	0.000441			1.74E-09	1157.188	0.997735178	0.001353927	0.0004679	1.070509	1.0646966	1.3847913	1.2931982	11.1	0.4	0.3	0.55391652	0.38795946	11.7	4.8	2.1							1990	4179000
24	15-24	0.001362	98253.694	53.35	0.000487	98939.166	57.74	1.00525	99458.596	98769.526	99458.596	92.478833	134.52409	48.436336	98588.48	0.000862	0.000834	0.00086	0.997735	0.997735	0.00086	0.001268	0.000441	0.001267621	0.000441	988020.7	991797.2	965.9994	358.8772	0.000978	0.000362	0.000978	0.000362	0.000441	1.74E-09	1157.188	1.74E-09	1157.188	0.997735178	0.001358915	0.0004859	1.0744534	1.1055592	1.3898937	1.3428305	11.1	0.4	0.3	0.55595748	0.40284915	11.7	4.8	2.1							1989	4021000
25	25-34	0.001353	98119.872	52.42	0.000505	98890.982	56.76	0.97825	96740.104	95985.765	96740.104	90.30102	129.86874	48.853752	98496.48					0.994598	0.000964			0.001364872	0.000558	901050.6	911335.5	129.1672	48.58984			0.00142	0.000652	0.000558			1.96E-09	1026.188	0.994597944	0.001345691	0.0005023	0.9913019	0.9058291	0.947548	0.7697669	14.8	1.3	1.1	1.2318124	0.84674359	28.6	13	7.6							1988	3913000
26	25-34	0.00135	97987.116	51.49	0.000525	98841.043	55.79	0.95725	94615.588	93798.167	94615.588	89.043025	126.62753	49.673184	98404.17					0.994598	0.000964			0.001364872	0.000558	901050.6	911335.5	255.1107	97.99469			0.00142	0.000652	0.000558			1.96E-09	1026.188	0.994597944	0.001342707	0.0005222	0.9891039	0.9417035	0.945447	0.8002527	14.8	1.3	1.1	1.2290811	0.88027797	28.6	13	7.6							1987	3829000
27	25-34	0.001353	97854.833	50.56	0.000551	98789.151	54.82	0.93275	92145.581	91274.096	92145.581	87.976604	123.49385	50.772215	98311.15					0.994598	0.000964			0.001364872	0.000558	901050.6	911335.5	377.9374	148.4926			0.00142	0.000652	0.000558			1.96E-09	1026.188	0.994597944	0.001345691	0.000548	0.9913019	0.9883403	0.947548	0.8398843	14.8	1.3	1.1	1.2318124	0.92387273	28.6	13	7.6							1986	3731000
28	25-34	0.001371	97722.436	49.63	0.000585	98734.718	53.85	0.9401403	92824.483	91872.795	92824.483	90.961163	125.9576	54.302322	98216.83					0.994598	0.000964			0.001364872	0.000558	901050.6	911335.5	503.2146	202.5016			0.00142	0.000652	0.000558			1.96E-09	1026.188	0.994597944	0.001363594	0.0005818	1.00449	1.0493268	0.960154	0.8917102	14.8	1.3	1.1	1.2482002	0.98088122	28.6	13	7.6							1985	3760561
29	25-34	0.001399	97588.458	48.69	0.000626	98676.958	52.88	0.9172853	90514.918	89516.453	90514.918	91.743354	125.23352	56.662339	98120.08	0.000969	0.000976	0.000964	0.994598	0.994598	0.000964	0.001365	0.000558	0.001364872	0.000558	901050.6	911335.5	627.7716	258.8579			0.00142	0.000652	0.000558	1.96E-09	1026.188	1.96E-09	1026.188	0.994597944	0.001391443	0.0006226	1.0250047	1.1228694	0.9797633	0.9542061	14.8	1.3	1.1	1.27369229	1.04962671	28.6	13	7.6							1984	3669141
30	25-34	0.001432	97451.932	47.76	0.000672	98615.187	51.92	0.9097333	89713.514	88655.263	89713.514	94.394244	126.95434	60.287482	98020.07					0.992559	0.001128			0.001497417	0.000761	901050.6	911335.5	753.7812	318.6967			0.00142	0.000652	0.000761			2.31E-09	873.6543	0.992558523	0.001421344	0.000667	0.9563136	0.8829328	1.0008178	1.0222231	14.8	1.3	1.1	1.30106314	1.12444541	28.6	13	7.6							1983	3638933
31	25-34	0.001464	97312.381	46.83	0.00072	98548.917	50.95	0.9201343	90678.234	89540.455	90678.234	98.951044	131.08723	65.288328	97916.31					0.992559	0.001128			0.001497417	0.000761	901050.6	911335.5	883.8929	383.4992			0.00142	0.000652	0.000761			2.31E-09	873.6543	0.992558523	0.001453106	0.0007146	0.9776837	0.9459994	1.0231824	1.0952391	14.8	1.3	1.1	1.33013712	1.20476301	28.6	13	7.6							1982	3680537
32	25-34	0.001497	97169.916	45.9	0.000766	98477.962	49.99	0.90725	89344.131	88157.406	89344.131	100.94162	131.97164	68.437604	97808.77					0.992559	0.001128			0.001497417	0.000761	901050.6	911335.5	1014.882	451.4275			0.00142	0.000652	0.000761			2.31E-09	873.6543	0.992558523	0.00148586	0.0007603	0.9997217	1.0064383	1.046246	1.1652127	14.8	1.3	1.1	1.3601198	1.28173397	28.6	13	7.6							1981	3629000
33	25-34	0.00153	97024.452	44.96	0.000806	98402.528	49.02	0.9030645	88863.83	87619.338	88863.83	103.56514	134.05759	71.624247	97697.5					0.992559	0.001128			0.001497417	0.000761	901050.6	911335.5	1147.942	522.5188			0.00142	0.000652	0.000761			2.31E-09	873.6543	0.992558523	0.001518615	0.0008	1.0217596	1.0589938	1.0693095	1.2260593	14.8	1.3	1.1	1.39010235	1.34866523	28.6	13	7.6							1980	3612258
34	25-34	0.001568	96876.005	44.03	0.000846	98323.215	48.06	0.8735995	85895.112	84630.829	85895.112	103.3806	132.70114	72.667265	97582.82	0.001136	0.001148	0.001128	0.992559	0.992559	0.001128	0.001497	0.000761	0.001497417	0.000761	901050.6	911335.5	1279.656	594.6453	0.00142	0.000652	0.00142	0.000652	0.000761	2.31E-09	873.6543	2.31E-09	873.6543	0.992558523	0.001556332	0.0008397	1.0471367	1.1115493	1.0958675	1.2869059	14.8	1.3	1.1	1.42462775	1.41559649	28.6	13	7.6							1979	3494398
35	35-44	0.001617	96724.103	43.1	0.000891	98240.034	47.1	0.8333198	81865.361	80602.105	81865.361	102.30356	130.3336	72.942036	97464.48					0.98958	0.001391			0.001771567	0.001024	801066.7	816502.1	128.9755	72.18196			0.002129	0.001303	0.001024			2.86E-09	703.8418	0.989579657	0.00160015	0.0008817	0.9127511	0.8698745	0.7516992	0.6768913	16.2	4.7	3.7	3.53298624	2.50449781	28.1	18	25.6							1978	3333279
36	35-44	0.001682	96567.7	42.17	0.000946	98152.502	46.15	0.831658	81629.314	80311.301	81629.314	106.82367	135.08361	77.221331	97341.72					0.98958	0.001391			0.001771567	0.001024	801066.7	816502.1	262.6515	148.5986			0.002129	0.001303	0.001024			2.86E-09	703.8418	0.989579657	0.001664473	0.0009361	0.9494418	0.9235704	0.7819159	0.7186747	16.2	4.7	3.7	3.67500473	2.65909639	28.1	18	25.6							1977	3326632
37	35-44	0.001759	96405.273	41.24	0.001013	98059.65	45.19	0.791947	77658.045	76347.867	77658.045	107.12704	134.2959	78.6676	97213.27					0.98958	0.001391			0.001771567	0.001024	801066.7	816502.1	395.548	226.4465			0.002129	0.001303	0.001024			2.86E-09	703.8418	0.989579657	0.001740671	0.0010024	0.9929062	0.9889819	0.8177111	0.7695745	16.2	4.7	3.7	3.84324217	2.84742565	28.1	18	25.6							1976	3167788
