Age	M Death Rate, Adjusted	F Death Rate, Adjusted	Suicide Rate, Raw (per 100,000)	Cerebrovascular, Male, Adj	Cerebrovascular, Female, Adj	Drug Overdose Rates, Male, Raw	Drug Overdose Rates, Female, Raw
0	0.006453698	0.0054162	0	3	2.3	0.2	0.2
1	0.000443737	0.0003818	0	0.5880663	0	0.2	0.2
2	0.000290827	0.0002179	0	0.38542182	0	0.2	0.2
3	0.000225866	0.0001659	0	0.29933103	0	0.2	0.2
4	0.000172897	0.0001429	0	0.22913394	0	0.2	0.2
5	0.000157627	0.0001267	0	0.20931128	0.2300414	0.2	0.2
6	0.000146653	0.0001157	0	0.19473898	0.21011656	0.2	0.2
7	0.000135679	0.0001057	0	0.18016668	0.19200306	0.2	0.2
8	0.000120714	9.78E-05	0	0.16029534	0.17751226	0.2	0.2
9	0.000103754	9.08E-05	0	0.13777452	0.16483282	0.2	0.2
10	9.16E-05	8.57E-05	0	0.12169528	0.15554322	0.2	0.2
11	9.66E-05	8.87E-05	0	0.12830916	0.16096916	0.2	0.2
12	0.000133484	0.0001016	0	0.17725182	0.1844815	0.2	0.2
13	0.000209191	0.0001275	0	0.27778272	0.2315062	0.2	0.2
14	0.000315778	0.0001634	0	0.41931962	0.29661732	0.2	0.2
15	0.00043282	0.0002049	11.1	0.17707472	0.16989147	11.7	4.8
16	0.000546773	0.0002459	11.1	0.22369488	0.20386977	11.7	4.8
17	0.000671721	0.0002849	11.1	0.27481344	0.23619057	11.7	4.8
18	0.000804666	0.0003189	11.1	0.3292036	0.26436771	11.7	4.8
19	0.000940609	0.0003499	11.1	0.3848206	0.2900586	11.7	4.8
20	0.001081545	0.0003821	11.1	0.44248012	0.31681977	11.7	4.8
21	0.001216239	0.0004161	11.1	0.49758604	0.34494474	11.7	4.8
22	0.001311024	0.000445	11.1	0.53636428	0.36893373	11.7	4.8
23	0.001353927	0.0004679	11.1	0.55391652	0.38795946	11.7	4.8
24	0.001358915	0.0004859	11.1	0.55595748	0.40284915	11.7	4.8
25	0.001345691	0.0005023	14.8	1.2318124	0.84674359	28.6	13
26	0.001342707	0.0005222	14.8	1.2290811	0.88027797	28.6	13
27	0.001345691	0.000548	14.8	1.2318124	0.92387273	28.6	13
28	0.001363594	0.0005818	14.8	1.2482002	0.98088122	28.6	13
29	0.001391443	0.0006226	14.8	1.27369229	1.04962671	28.6	13
30	0.001421344	0.000667	14.8	1.30106314	1.12444541	28.6	13
31	0.001453106	0.0007146	14.8	1.33013712	1.20476301	28.6	13
32	0.00148586	0.0007603	14.8	1.3601198	1.28173397	28.6	13
33	0.001518615	0.0008	14.8	1.39010235	1.34866523	28.6	13
34	0.001556332	0.0008397	14.8	1.42462775	1.41559649	28.6	13
35	0.00160015	0.0008817	16.2	3.53298624	2.50449781	28.1	18
36	0.001664473	0.0009361	16.2	3.67500473	2.65909639	28.1	18
37	0.001740671	0.0010024	16.2	3.84324217	2.84742565	28.1	18
38	0.001832702	0.0010826	16.2	4.04643821	3.07510737	28.1	18
39	0.001942545	0.0011776	16.2	4.28896197	3.34495244	28.1	18
40	0.002083994	0.001291	16.2	4.60126992	3.66717878	28.1	18
41	0.002237405	0.0014076	16.2	4.9399867	3.99824368	28.1	18
42	0.002426678	0.0015431	16.2	5.35788391	4.38307106	28.1	18
43	0.002658786	0.0016995	16.2	5.87035828	4.82732007	28.1	18
44	0.002930742	0.0018738	16.2	6.47081054	5.32250254	28.1	18
45	0.00322134	0.0020545	19.7	9.03175096	6.93080364	31.5	23.6
46	0.003546056	0.0022541	19.7	9.94216408	7.60411988	31.5	23.6
47	0.003898577	0.0024686	19.7	10.93053378	8.32768436	31.5	23.6
48	0.004278901	0.002697	19.7	11.99686006	9.09814536	31.5	23.6
49	0.004686037	0.0029393	19.7	13.13835688	9.915505	31.5	23.6
50	0.005073243	0.0031742	19.7	14.22397386	10.7079027	31.5	23.6
51	0.005531763	0.0034487	19.7	15.5095382	11.63397382	31.5	23.6
52	0.006022754	0.0037183	19.7	16.88614158	12.54344852	31.5	23.6
53	0.006549167	0.0039752	19.7	18.36205834	13.40977274	31.5	23.6
54	0.007106082	0.004232	19.7	19.9234946	14.27609802	31.5	23.6
55	0.007634403	0.0044693	18.1	26.09042319	16.72691559	22.7	15.9
56	0.008266061	0.0047885	18.1	28.24910127	17.9216961	22.7	15.9
57	0.008872414	0.0051253	18.1	30.32130348	19.18204134	22.7	15.9
58	0.009431077	0.0054796	18.1	32.23051884	20.50795593	22.7	15.9
59	0.009979033	0.0058669	18.1	34.10314947	21.95771886	22.7	15.9
60	0.010452175	0.0062288	18.1	35.72010468	23.31211575	22.7	15.9
61	0.011143411	0.0067307	18.1	38.08238733	25.19032593	22.7	15.9
62	0.011924055	0.0073084	18.1	40.75022601	27.35278623	22.7	15.9
63	0.012810452	0.0079737	18.1	43.77946833	29.84267517	22.7	15.9
64	0.013815099	0.0087313	18.1	47.21283099	32.67798072	22.7	15.9
65	0.014631229	0.0093979	15	59.2170605	43.0106436	6.9	5.9
66	0.015877702	0.0103528	15	64.2619125	47.3805936	6.9	5.9
67	0.01726058	0.0113801	15	69.858848	52.0820604	6.9	5.9
68	0.018785509	0.0124751	15	76.030698	57.09351096	6.9	5.9
69	0.020476007	0.0136679	15	82.8726625	62.55271656	6.9	5.9
70	0.022054233	0.0147932	15	89.2602255	67.70256696	6.9	5.9
71	0.0242023	0.016339	15	97.9541105	74.77723008	6.9	5.9
72	0.026480806	0.0180264	15	107.1759135	82.4996664	6.9	5.9
73	0.028866622	0.019859	15	116.8320495	90.88680816	6.9	5.9
74	0.031450409	0.0218859	15	127.289421	100.1630513	6.9	5.9
75	0.035078547	0.0247275	17.1	178.7157392	161.6334006	3.7	3.4
76	0.038565657	0.0274961	17.1	196.4816361	179.730331	3.7	3.4
77	0.042471445	0.0304872	17.1	216.3805545	199.2819164	3.7	3.4
78	0.046831747	0.0336877	17.1	238.5951301	220.2018472	3.7	3.4
79	0.05171634	0.0372182	17.1	263.480825	243.2791232	3.7	3.4
80	0.057864048	0.0417109	17.1	294.8017391	272.6464322	3.7	3.4
81	0.064248022	0.0465341	17.1	327.3263491	304.1736025	3.7	3.4
82	0.07116685	0.0519407	17.1	362.5759077	339.5141181	3.7	3.4
83	0.078599593	0.0579668	17.1	400.4437289	378.9043932	3.7	3.4
84	0.086732784	0.0647334	17.1	441.8801473	423.1344759	3.7	3.4
85	0.095135107	0.0718654	18.6	513.3071611	535.9032009	5.9	3.5
86	0.105306286	0.0804585	18.6	568.1863652	599.9827091	5.9	3.5
87	0.116765399	0.0901412	18.6	630.0146565	672.1867085	5.9	3.5
88	0.129573865	0.1009719	18.6	699.1235599	752.9519997	5.9	3.5
89	0.143715621	0.1129725	18.6	775.4262532	842.4406863	5.9	3.5
90	0.149038447	0.1181346	18.6	858.7034984	940.701992	5.9	3.5
91	0.154044875	0.123099	18.6	948.6240131	1047.686789	5.9	3.5
92	0.158647855	0.127807	18.6	1044.790145	1163.268051	5.9	3.5
93	0.162804833	0.1322272	18.6	1146.788722	1287.262742	5.9	3.5
94	0.166506476	0.1363499	18.6	1254.181509	1419.431149	5.9	3.5
95	0.169049521	0.1396095	18.6	1360.682065	1553.058106	5.9	3.5
96	0.170450147	0.1419971	18.6	1464.352979	1686.001666	5.9	3.5
97	0.17076151	0.1435376	18.6	1563.134528	1815.94344	5.9	3.5
98	0.170084755	0.1442927	18.6	1654.936351	1940.396056	5.9	3.5
99	0.168578669	0.1443772	18.6	1737.683366	2056.822914	5.9	3.5
100	0.167660822	0.1449589	18.6	1824.565267	2180.232751	5.9	3.5
101	0.167297026	0.1460218	18.6	1915.796117	2311.048223	5.9	3.5
102	0.167395886	0.1474994	18.6	2011.584889	2449.70632	5.9	3.5
103	0.167770307	0.1492373	18.6	2112.166178	2596.693258	5.9	3.5
104	0.168063581	0.1509224	18.6	2217.76933	2752.495158	5.9	3.5
105	0.16827636	0.1525523	18.6	2328.659579	2917.64048	5.9	3.5
106	0.168408102	0.1541258	18.6	2445.091814	3092.700029	5.9	3.5
107	0.16845936	0.1556412	18.6	2567.346388	3278.265732	5.9	3.5
108	0.168431258	0.1570971	18.6	2695.714003	3474.95752	5.9	3.5
109	0.168325073	0.1584934	18.6	2830.500475	3683.459077	5.9	3.5
110	0.16814257	0.1598291	18.6	2972.026982	3904.460873	5.9	3.5
111	0.167886048	0.1611051	18.6	3120.630142	4138.730894	5.9	3.5
112	0.167557935	0.1623217	18.6	3276.656597	4387.051366	5.9	3.5
113	0.167162027	0.1634803	18.6	3440.493731	4650.274863	5.9	3.5
114	0.166701583	0.1645828	18.6	3612.518907	4929.2963	5.9	3.5
115	0.166180867	0.1656314	18.6	3793.140042	5225.05284	5.9	3.5
116	0.165607095	0.1656071	18.6	3982.800625	5504.511077	5.9	3.5
117	0.164991274	0.1649913	18.6	4181.939133	5779.734548	5.9	3.5
118	0.164364481	0.1643645	18.6	4391.034784	6068.719531	5.9	3.5
119	0.163836547	0.1638365	18.6	4610.587251	6372.156496	5.9	3.5

